Modo privado,Comuna de origen,Comuna de destino,Distancia,Ingreso per cápita
0,SANTIAGO,CERRILLOS,8.12,330.00
1,CERRILLOS,PUDAHUEL,5.91,295.00
1,PUDAHUEL,CERRILLOS,5.91,295.00
0,CERRILLOS,LAS CONDES,18.02,295.00
0,LAS CONDES,CERRILLOS,18.02,295.00
0,CERRILLOS,LO BARNECHEA,21.65,295.00
0,LO BARNECHEA,CERRILLOS,21.65,295.00
1,CERRILLOS,SANTIAGO,8.85,87.50
1,SANTIAGO,CERRILLOS,8.85,87.50
0,CERRILLOS,MAIPU,3.62,93.33
0,MAIPU,CERRILLOS,3.62,93.33
0,CERRILLOS,PUENTE ALTO,17.63,123.33
0,PUENTE ALTO,CERRILLOS,17.63,123.33
1,CERRILLOS,CERRILLOS,0.26,68.00
1,CERRILLOS,CERRILLOS,0.26,68.00
0,CERRILLOS,LAS CONDES,14.17,190.00
0,LAS CONDES,CERRILLOS,14.22,190.00
1,CERRILLOS,PUDAHUEL,5.41,190.00
1,PUDAHUEL,CERRILLOS,5.29,190.00
0,CERRILLOS,ESTACION CENTRAL,4.18,190.00
0,ESTACION CENTRAL,CERRILLOS,4.19,190.00
0,CERRILLOS,ESTACION CENTRAL,5.87,290.00
0,ESTACION CENTRAL,CERRILLOS,5.87,290.00
0,CERRILLOS,SANTIAGO,8.00,160.00
0,SANTIAGO,CERRILLOS,8.00,160.00
0,CERRILLOS,SANTIAGO,7.94,160.00
0,SANTIAGO,CERRILLOS,7.94,160.00
0,CERRILLOS,LAS CONDES,14.75,126.00
0,LAS CONDES,CERRILLOS,14.75,126.00
0,CERRILLOS,ESTACION CENTRAL,5.19,126.00
0,ESTACION CENTRAL,CERRILLOS,5.19,126.00
0,CERRILLOS,INDEPENDENCIA,9.96,116.67
0,INDEPENDENCIA,CERRILLOS,9.96,116.67
1,CERRILLOS,CERRILLOS,2.60,120.00
1,CERRILLOS,CERRILLOS,2.60,120.00
1,CERRILLOS,RENCA,12.67,100.00
1,RENCA,CERRILLOS,12.67,100.00
0,CERRILLOS,MAIPU,3.36,162.50
0,MAIPU,CERRILLOS,3.36,162.50
1,CERRILLOS,PROVIDENCIA,12.24,162.50
1,PROVIDENCIA,CERRILLOS,12.24,162.50
0,CERRILLOS,LAS CONDES,21.51,162.50
0,LAS CONDES,CERRILLOS,21.51,162.50
0,CERRILLOS,SANTIAGO,7.70,296.67
0,SANTIAGO,CERRILLOS,7.70,296.67
0,CERRILLOS,SANTIAGO,7.58,296.67
0,SANTIAGO,CERRILLOS,7.58,296.67
1,CERRILLOS,PUDAHUEL,8.29,83.33
1,PUDAHUEL,CERRILLOS,8.29,83.33
0,CERRILLOS,CERRILLOS,0.12,333.33
0,CERRILLOS,LAS CONDES,16.57,333.33
0,LAS CONDES,CERRILLOS,16.57,333.33
1,CERRILLOS,LAS CONDES,17.25,230.00
1,LAS CONDES,CERRILLOS,17.25,230.00
1,CERRILLOS,CERRILLOS,2.63,180.00
1,CERRILLOS,CERRILLOS,2.63,180.00
0,LA CISTERNA,LA CISTERNA,0.88,180.00
0,CERRILLOS,SANTIAGO,10.53,100.00
0,SANTIAGO,CERRILLOS,10.53,100.00
0,CERRILLOS,LAS CONDES,15.38,286.67
0,LAS CONDES,CERRILLOS,15.38,286.67
1,CERRILLOS,QUILICURA,12.42,286.67
0,CERRILLOS,LAS CONDES,20.16,186.67
0,CERRILLOS,INDEPENDENCIA,8.91,216.67
0,INDEPENDENCIA,CERRILLOS,8.91,216.67
0,CERRILLOS,LAS CONDES,16.19,72.50
0,LAS CONDES,CERRILLOS,16.19,72.50
0,CERRILLOS,PUDAHUEL,6.72,80.00
0,PUDAHUEL,CERRILLOS,6.72,80.00
1,CERRILLOS,LAS CONDES,20.70,183.33
1,LAS CONDES,CERRILLOS,20.70,183.33
0,CERRILLOS,LAS CONDES,12.76,68.00
0,LAS CONDES,CERRILLOS,12.76,68.00
1,CERRILLOS,EL BOSQUE,5.54,154.00
1,EL BOSQUE,CERRILLOS,5.54,154.00
0,CERRILLOS,SANTIAGO,8.77,154.00
1,SANTIAGO,CERRILLOS,8.77,154.00
1,CERRILLOS,SAN MIGUEL,4.76,154.00
1,SAN MIGUEL,CERRILLOS,4.77,154.00
1,CERRILLOS,MAIPU,3.56,50.00
1,MAIPU,CERRILLOS,3.56,50.00
0,CERRILLOS,LO BARNECHEA,23.14,250.00
0,LO BARNECHEA,CERRILLOS,23.14,250.00
0,CERRILLOS,SANTIAGO,4.80,250.00
0,CERRILLOS,MAIPU,6.25,123.33
0,MAIPU,CERRILLOS,6.25,123.33
1,CERRILLOS,PROVIDENCIA,14.77,200.00
1,PROVIDENCIA,CERRILLOS,14.77,200.00
0,CERRILLOS,PROVIDENCIA,13.19,250.00
0,PROVIDENCIA,CERRILLOS,13.19,250.00
0,CERRILLOS,PROVIDENCIA,10.11,300.00
0,PROVIDENCIA,CERRILLOS,10.11,300.00
1,CERRILLOS,PUDAHUEL,7.60,300.00
1,PUDAHUEL,CERRILLOS,7.60,300.00
1,CERRILLOS,PUENTE ALTO,14.93,100.00
1,PUENTE ALTO,CERRILLOS,14.93,100.00
0,CERRILLOS,MAIPU,3.73,183.33
0,MAIPU,CERRILLOS,3.73,183.33
0,ESTACION CENTRAL,ESTACION CENTRAL,2.79,46.02
0,ESTACION CENTRAL,ESTACION CENTRAL,2.79,46.02
1,MAIPU,PROVIDENCIA,14.09,194.30
1,PROVIDENCIA,CERRILLOS,12.38,194.30
0,CERRILLOS,LA FLORIDA,11.54,194.30
0,LA FLORIDA,CERRILLOS,11.54,194.30
0,CERRILLOS,LAS CONDES,16.14,188.00
0,LAS CONDES,CERRILLOS,16.14,188.00
0,CERRILLOS,ESTACION CENTRAL,3.39,188.00
0,ESTACION CENTRAL,CERRILLOS,3.39,188.00
0,CERRILLOS,PUDAHUEL,11.59,188.00
0,PUDAHUEL,CERRILLOS,11.59,188.00
0,CERRILLOS,CERRILLOS,2.69,79.07
0,CERRILLOS,CERRILLOS,2.69,79.07
1,CERRILLOS,RECOLETA,11.42,207.55
1,RECOLETA,CERRILLOS,11.42,207.55
1,CERRILLOS,CERRILLOS,1.25,207.55
1,CERRILLOS,CERRILLOS,1.25,207.55
0,CERRILLOS,LAS CONDES,13.23,258.00
0,LAS CONDES,MAIPU,13.15,258.00
0,CERRILLOS,CONCHALI,10.38,258.00
0,CONCHALI,MAIPU,10.26,258.00
0,CERRILLOS,CONCHALI,10.38,258.00
0,CONCHALI,MAIPU,10.26,258.00
0,CERRILLOS,VITACURA,16.47,258.00
0,VITACURA,MAIPU,16.39,258.00
0,CERRILLOS,CERRILLOS,2.96,225.81
1,CERRILLOS,CERRILLOS,2.96,225.81
1,CERRILLOS,SAN JOAQUIN,8.66,225.81
1,SAN JOAQUIN,CERRILLOS,8.66,225.81
0,CERRILLOS,SANTIAGO,8.17,75.00
0,SANTIAGO,CERRILLOS,8.17,75.00
1,CERRILLOS,LA FLORIDA,10.22,146.67
1,LA FLORIDA,CERRILLOS,10.22,146.67
1,CERRILLOS,PROVIDENCIA,9.33,216.67
1,CERRILLOS,SANTIAGO,7.79,216.67
1,SANTIAGO,CERRILLOS,7.79,216.67
0,CERRILLOS,SANTIAGO,9.94,137.04
0,SANTIAGO,CERRILLOS,9.94,137.04
0,CERRILLOS,SANTIAGO,7.48,216.67
0,SANTIAGO,CERRILLOS,7.48,216.67
0,CERRILLOS,SANTIAGO,7.48,216.67
0,CERRILLOS,LAS CONDES,22.10,136.00
0,LAS CONDES,CERRILLOS,22.10,136.00
0,CERRILLOS,MAIPU,3.82,136.00
0,MAIPU,CERRILLOS,3.82,136.00
1,CERRILLOS,SAN MIGUEL,5.95,260.00
1,SAN MIGUEL,CERRILLOS,5.95,260.00
0,CERRILLOS,CERRILLOS,2.16,212.26
0,CERRILLOS,CERRILLOS,2.16,212.26
0,CERRILLOS,RENCA,11.33,212.26
0,RENCA,CERRILLOS,11.33,212.26
0,CERRILLOS,SANTIAGO,10.18,212.26
0,CERRILLOS,CONCHALI,11.88,200.00
0,CONCHALI,CERRILLOS,11.88,200.00
0,CERRILLOS,LA PINTANA,9.51,165.00
0,LA PINTANA,CERRILLOS,9.51,165.00
1,CERRILLOS,ÑUÑOA,11.09,175.00
1,ÑUÑOA,CERRILLOS,11.09,175.00
1,CERRILLOS,LAS CONDES,17.47,175.00
1,LAS CONDES,CERRILLOS,17.47,175.00
0,CERRILLOS,PROVIDENCIA,12.03,152.00
1,CERRILLOS,CERRILLOS,4.50,152.00
1,CERRILLOS,CERRILLOS,4.50,152.00
1,CERRILLOS,INDEPENDENCIA,10.23,200.00
1,INDEPENDENCIA,CERRILLOS,10.23,200.00
1,CERRILLOS,MACUL,9.33,200.00
1,MACUL,CERRILLOS,9.33,200.00
0,CERRILLOS,SANTIAGO,7.88,180.00
0,SANTIAGO,CERRILLOS,7.88,180.00
